label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
No book_imbalance,41,1217.908,467.8493897997518,585.7625000000002,0.18071261715774167,250
No book_imbalance,42,1139.444,459.64450487741055,585.76106,0.1820828833251489,250
No book_imbalance,43,1035.512,441.2666244528357,585.7585800000007,0.18280066630075606,250
No book_imbalance,44,963.688,427.54772208023746,585.7582400000002,0.18439767460573264,250
No book_imbalance,45,853.964,414.29799263814937,585.7563199999998,0.1866281264975884,250
No book_imbalance,46,736.084,397.9495306493024,585.7536199999996,0.18704917962932155,250
No book_imbalance,47,621.548,374.6527561569514,585.7504000000006,0.18847079349331605,250
No book_imbalance,48,522.764,364.3206558843459,585.7470199999998,0.1850335634418711,250
No book_imbalance,49,426.608,335.8713300298197,585.7413999999998,0.1843275345682254,250
No book_imbalance,50,0.0,0.0,585.73454,0.1872182907730962,250
No log_volatility,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
No log_volatility,1,11024.64,711.7893441180483,586.0010800000003,0.09578117560355329,250
No log_volatility,2,10202.84,1029.857472857289,585.9851800000001,0.1033627960148138,250
No log_volatility,3,9522.716,1218.9871743968445,585.9674799999997,0.10623864456966692,250
No log_volatility,4,8967.628,1246.9350943878358,585.9586,0.10923021559989768,250
No log_volatility,5,8508.676,1223.1680060498638,585.9479800000003,0.11194739657535996,250
No log_volatility,6,8175.912,1203.679894430409,585.9403400000003,0.11688363615151398,250
No log_volatility,7,7752.608,1202.3335703273033,585.9290999999998,0.11876653569082193,250
No log_volatility,8,7392.632,1139.1913309782515,585.9190799999994,0.12736543330118905,250
No log_volatility,9,7136.132,1026.5986570106154,585.9130399999999,0.1266150006910702,250
No log_volatility,10,6831.86,992.5730363051375,585.9062799999996,0.12961235126330278,250
No log_volatility,11,6598.324,946.9630716263438,585.8969399999999,0.13820396665797643,250
No log_volatility,12,6365.792,877.435452176398,585.8879200000001,0.14031490868757213,250
No log_volatility,13,6183.764,857.6682040882711,585.8835999999999,0.13671883557139844,250
No log_volatility,14,5994.328,867.5007299224595,585.8778800000001,0.14240893792175405,250
No log_volatility,15,5778.952,896.7198970113244,585.8776000000005,0.14687423191288493,250
No log_volatility,16,5603.652,901.0103100941742,585.8722000000002,0.1481511390438878,250
No log_volatility,17,5392.832,889.104454929791,585.86806,0.1518213963840433,250
No log_volatility,18,5208.976,863.7092563032999,585.8667,0.1541772032435418,250
No log_volatility,19,5046.888,848.9845295740083,585.86532,0.15437324120456303,250
No log_volatility,20,4885.04,880.2773599269723,585.85766,0.15895604549685965,250
No log_volatility,21,4699.116,917.6734138809948,585.8546399999999,0.16088837869777922,250
No log_volatility,22,4537.344,912.5224170747808,585.8497200000002,0.16255867125441342,250
No log_volatility,23,4363.144,962.7824194822003,585.8487200000004,0.16227434054710974,250
No log_volatility,24,4190.436,1001.9142986822776,585.8432799999998,0.16217780859291603,250
No log_volatility,25,4032.092,998.9135595916194,585.8411000000002,0.1646483829255541,250
No log_volatility,26,3819.164,1049.9875242611215,585.8403800000003,0.1693179128149203,250
No log_volatility,27,3641.84,1039.0573566459163,585.8334,0.17071156961378067,250
No log_volatility,28,3451.584,1079.1358890074964,585.8301000000005,0.17046433644607215,250
No log_volatility,29,3262.652,1119.0453265600997,585.8273999999999,0.1715127983562786,250
No log_volatility,30,3090.008,1133.4735744321524,585.8245399999998,0.17339171952547366,250
No log_volatility,31,2888.892,1116.9405572079472,585.8209400000001,0.17451021861197874,250
No log_volatility,32,2673.648,1078.144715748308,585.8175799999999,0.17572035624821408,250
No log_volatility,33,2470.6,1055.5523786151025,585.81324,0.17578936941692383,250
No log_volatility,34,2296.592,1019.8929245445328,585.80696,0.1751632335851336,250
No log_volatility,35,2126.412,985.5241540703099,585.8043200000002,0.17503524673619977,250
No log_volatility,36,1952.252,948.3065266547519,585.8014799999999,0.17562690454483243,250
No log_volatility,37,1787.616,877.7380956435694,585.7987800000003,0.17950880646920886,250
No log_volatility,38,1627.588,831.8465304706149,585.7941799999999,0.18072860205291247,250
No log_volatility,39,1483.372,771.4627623002938,585.7875600000001,0.18223404292283407,250
No log_volatility,40,1331.4,707.2118211681701,585.7860399999996,0.18065801504499585,250
No log_volatility,41,1196.556,607.7545482051124,585.78172,0.17850165713516172,250
No log_volatility,42,1087.376,544.3001989931656,585.7794200000004,0.17726354278304934,250
No log_volatility,43,978.304,495.9591793524948,585.7756200000001,0.175658519861689,250
No log_volatility,44,872.924,424.93269846412164,585.7739600000002,0.17700259433127757,250
No log_volatility,45,752.736,382.49183298993455,585.7722799999999,0.17864322433274984,250
No log_volatility,46,649.44,346.4750819323087,585.7715199999994,0.17944439138630203,250
No log_volatility,47,546.284,310.8541319397251,585.76802,0.17581177321214903,250
No log_volatility,48,465.656,289.1475361541231,585.7666800000002,0.1751598629823625,250
No log_volatility,49,391.048,272.2336160285867,585.76414,0.1769428167516259,250
No log_volatility,50,0.0,0.0,585.7535943775099,0.1775294311493514,250
No recent_impact_proxy,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
No recent_impact_proxy,1,11106.24,749.162373854961,586.0043200000002,0.0949449187687196,250
No recent_impact_proxy,2,10352.84,1087.619285595838,585.9907200000001,0.10069797217421911,250
No recent_impact_proxy,3,9713.812,1277.7878386711943,585.9764999999995,0.10253609120694862,250
No recent_impact_proxy,4,9107.024,1308.6960775611735,585.9648200000001,0.10518777305371865,250
No recent_impact_proxy,5,8636.288,1299.2444593131809,585.9472600000004,0.1078758193479851,250
No recent_impact_proxy,6,8233.144,1301.0764540425741,585.9393,0.11532393506987589,250
No recent_impact_proxy,7,7871.592,1334.4007679614092,585.9317,0.11575236498664036,250
No recent_impact_proxy,8,7497.416,1302.1266677800588,585.9174799999998,0.1217236608059419,250
No recent_impact_proxy,9,7181.292,1271.228803455932,585.9154800000003,0.1212797163585097,250
No recent_impact_proxy,10,6873.132,1254.7990893270523,585.9082399999995,0.12490357240687452,250
No recent_impact_proxy,11,6648.772,1153.491263953048,585.8988799999996,0.13253280952277077,250
No recent_impact_proxy,12,6422.152,1095.8139919238117,585.8913000000001,0.13591030130199683,250
No recent_impact_proxy,13,6196.156,1065.4404852754556,585.8824400000001,0.13927543358395406,250
No recent_impact_proxy,14,5958.908,1044.5026469741472,585.87654,0.14306407096123128,250
No recent_impact_proxy,15,5734.62,1037.7555028040088,585.8693599999998,0.14648273072277093,250
No recent_impact_proxy,16,5539.528,1050.8986369845572,585.86264,0.14762191707195818,250
No recent_impact_proxy,17,5340.272,1079.1186283333268,585.8586400000002,0.15442263564646624,250
No recent_impact_proxy,18,5157.004,1092.793596240388,585.8576199999998,0.15494591185313836,250
No recent_impact_proxy,19,4959.124,1097.295535680338,585.8548400000001,0.15576961963104122,250
No recent_impact_proxy,20,4767.264,1103.682944646695,585.8469200000002,0.1601509088328878,250
No recent_impact_proxy,21,4533.748,1113.6692778810054,585.8423,0.16315394570772238,250
No recent_impact_proxy,22,4296.288,1154.3715091148083,585.83756,0.16793703105628868,250
No recent_impact_proxy,23,4041.68,1170.301736134746,585.8313600000004,0.16619371347917852,250
No recent_impact_proxy,24,3825.032,1188.188668089374,585.8277200000005,0.16710416392178493,250
No recent_impact_proxy,25,3626.816,1195.7561850745328,585.8224399999998,0.1687703955082237,250
No recent_impact_proxy,26,3404.272,1180.4504589418393,585.8162199999999,0.17318606063999356,250
No recent_impact_proxy,27,3198.196,1158.2024130453194,585.8099000000003,0.1734015282516277,250
No recent_impact_proxy,28,2985.784,1102.767765825607,585.8039799999999,0.17408233569205003,250
No recent_impact_proxy,29,2769.432,1058.0628853598446,585.8029599999996,0.17637867898360313,250
No recent_impact_proxy,30,2572.132,1014.1617516826399,585.8003799999999,0.1769495849105009,250
No recent_impact_proxy,31,2380.788,952.4651505729748,585.7953799999998,0.1794339867472222,250
No recent_impact_proxy,32,2224.928,919.7186498141701,585.79306,0.1798753357189366,250
No recent_impact_proxy,33,2075.788,876.4125370258006,585.7848599999998,0.17852305285312994,250
No recent_impact_proxy,34,1924.572,838.3835380158657,585.7797199999999,0.1784766696237908,250
No recent_impact_proxy,35,1765.524,755.2973463636689,585.7780400000004,0.1756575031133101,250
No recent_impact_proxy,36,1643.892,697.1979118844232,585.7734200000003,0.17410629971371105,250
No recent_impact_proxy,37,1497.02,623.9400705195974,585.7723599999997,0.17903527697076588,250
No recent_impact_proxy,38,1383.84,590.0513252251876,585.7707599999997,0.1796207738542445,250
No recent_impact_proxy,39,1287.888,541.0708081720912,585.7666400000008,0.1825708366634791,250
No recent_impact_proxy,40,1196.472,498.21605074104144,585.7670600000002,0.18479787985796894,250
No recent_impact_proxy,41,1111.376,461.2807069713625,585.7649799999998,0.1870895496814343,250
No recent_impact_proxy,42,1034.184,449.38512452461083,585.7655600000002,0.18699381380141672,250
No recent_impact_proxy,43,952.484,422.5187353763144,585.7618600000002,0.1888979629323697,250
No recent_impact_proxy,44,884.936,428.1901679207498,585.7609599999998,0.191015911379135,250
No recent_impact_proxy,45,768.548,398.8146834006992,585.75998,0.1929696857021898,250
No recent_impact_proxy,46,663.908,376.4466968058027,585.7584000000003,0.19428082766963797,250
No recent_impact_proxy,47,572.18,366.87657270531747,585.75796,0.1963828872381627,250
No recent_impact_proxy,48,483.216,350.3983124160275,585.7537400000002,0.1973289446583986,250
No recent_impact_proxy,49,404.976,330.3367606307237,585.7523400000001,0.1983195008061523,250
No recent_impact_proxy,50,0.0,0.0,585.7466599999999,0.19718454401904928,250
