episode,Tabular Q-Learning,Vanilla DQN,DQN + Replay
447,-489.39,-500.0,-500.0
448,-489.39,-500.0,-500.0
449,-489.39,-500.0,-500.0
450,-490.34,-500.0,-500.0
451,-491.48,-500.0,-500.0
452,-491.48,-500.0,-500.0
453,-491.48,-500.0,-500.0
454,-491.48,-500.0,-500.0
455,-491.48,-500.0,-500.0
456,-491.48,-500.0,-500.0
457,-491.48,-500.0,-500.0
458,-491.48,-500.0,-500.0
459,-491.48,-500.0,-500.0
460,-491.48,-500.0,-500.0
461,-491.48,-500.0,-500.0
462,-491.48,-500.0,-500.0
463,-491.48,-500.0,-500.0
464,-490.62,-500.0,-500.0
465,-490.62,-500.0,-500.0
466,-490.62,-500.0,-500.0
467,-490.62,-500.0,-500.0
468,-490.62,-500.0,-500.0
469,-490.62,-500.0,-500.0
470,-490.62,-500.0,-500.0
471,-490.62,-500.0,-500.0
472,-490.62,-500.0,-500.0
473,-490.62,-500.0,-500.0
474,-489.92,-500.0,-500.0
475,-489.92,-500.0,-500.0
476,-489.92,-500.0,-500.0
477,-488.91,-500.0,-500.0
478,-488.91,-500.0,-500.0
479,-488.91,-500.0,-500.0
480,-488.91,-500.0,-500.0
481,-488.91,-500.0,-500.0
482,-488.91,-500.0,-500.0
483,-488.91,-500.0,-500.0
484,-488.91,-500.0,-500.0
485,-488.91,-500.0,-500.0
486,-488.91,-500.0,-500.0
487,-490.79,-500.0,-500.0
488,-490.79,-500.0,-500.0
489,-490.79,-500.0,-500.0
490,-490.02,-500.0,-500.0
491,-490.02,-500.0,-500.0
492,-490.02,-500.0,-500.0
493,-491.05,-500.0,-500.0
494,-491.05,-500.0,-500.0
495,-491.05,-500.0,-500.0
496,-491.05,-500.0,-500.0
497,-491.05,-500.0,-500.0
498,-492.92,-500.0,-500.0
499,-492.92,-500.0,-500.0
500,-492.92,-500.0,-500.0
501,-492.92,-500.0,-500.0
502,-492.92,-500.0,-500.0
503,-492.45,-500.0,-500.0
504,-492.45,-500.0,-500.0
505,-492.45,-500.0,-500.0
506,-492.58,-500.0,-500.0
507,-492.58,-500.0,-500.0
508,-492.58,-500.0,-500.0
509,-492.39,-500.0,-500.0
510,-492.39,-500.0,-500.0
511,-492.39,-500.0,-500.0
512,-492.39,-500.0,-500.0
513,-492.39,-500.0,-500.0
514,-492.39,-500.0,-500.0
515,-492.39,-500.0,-500.0
516,-492.39,-500.0,-500.0
517,-492.39,-500.0,-500.0
518,-492.39,-500.0,-500.0
519,-492.39,-500.0,-500.0
520,-492.39,-500.0,-500.0
521,-492.39,-500.0,-500.0
522,-492.39,-500.0,-500.0
523,-492.39,-500.0,-500.0
524,-493.11,-500.0,-500.0
525,-493.11,-500.0,-500.0
526,-493.11,-500.0,-500.0
527,-493.11,-500.0,-500.0
528,-493.12,-500.0,-500.0
529,-493.12,-500.0,-500.0
530,-493.12,-500.0,-500.0
531,-493.12,-500.0,-500.0
532,-493.12,-500.0,-500.0
533,-493.12,-500.0,-500.0
534,-491.53,-500.0,-500.0
535,-491.53,-500.0,-500.0
536,-491.53,-500.0,-500.0
537,-491.53,-500.0,-500.0
538,-491.53,-500.0,-500.0
539,-491.53,-500.0,-500.0
540,-491.53,-500.0,-500.0
541,-493.43,-500.0,-500.0
542,-493.43,-500.0,-500.0
543,-493.43,-500.0,-500.0
544,-493.43,-500.0,-500.0
545,-494.42,-500.0,-500.0
546,-494.18,-500.0,-500.0
547,-494.18,-500.0,-500.0
548,-494.18,-500.0,-500.0
549,-494.18,-500.0,-500.0
550,-494.18,-500.0,-500.0
551,-494.18,-500.0,-500.0
552,-492.5,-500.0,-500.0
553,-491.76,-500.0,-500.0
554,-491.76,-500.0,-500.0
555,-491.76,-500.0,-500.0
556,-491.64,-500.0,-500.0
557,-491.64,-500.0,-500.0
558,-491.64,-500.0,-500.0
559,-491.64,-500.0,-500.0
560,-491.64,-500.0,-500.0
561,-491.64,-500.0,-500.0
562,-491.64,-500.0,-500.0
563,-491.64,-500.0,-500.0
564,-492.5,-500.0,-500.0
565,-492.5,-500.0,-500.0
566,-492.5,-500.0,-500.0
567,-492.5,-500.0,-500.0
568,-492.5,-500.0,-500.0
569,-492.38,-500.0,-500.0
570,-492.38,-500.0,-500.0
571,-492.38,-500.0,-500.0
572,-492.38,-500.0,-500.0
573,-492.26,-500.0,-500.0
574,-492.96,-500.0,-500.0
575,-492.62,-500.0,-500.0
576,-491.45,-500.0,-500.0
577,-492.46,-500.0,-500.0
578,-492.25,-500.0,-500.0
579,-492.25,-500.0,-500.0
580,-492.25,-500.0,-500.0
581,-492.25,-500.0,-500.0
582,-492.25,-500.0,-500.0
583,-490.8,-500.0,-500.0
584,-490.8,-500.0,-500.0
585,-490.8,-500.0,-500.0
586,-490.8,-500.0,-500.0
587,-490.8,-500.0,-500.0
588,-490.8,-500.0,-500.0
589,-490.8,-500.0,-500.0
590,-491.57,-500.0,-500.0
591,-491.57,-500.0,-500.0
592,-491.57,-500.0,-500.0
593,-491.57,-500.0,-500.0
594,-491.57,-500.0,-500.0
595,-491.4,-500.0,-500.0
596,-491.4,-500.0,-500.0
597,-491.4,-500.0,-500.0
598,-491.4,-500.0,-500.0
599,-491.4,-500.0,-500.0
600,-491.4,-500.0,-500.0
601,-491.08,-500.0,-500.0
602,-491.08,-500.0,-500.0
603,-490.77,-500.0,-500.0
604,-490.77,-500.0,-500.0
605,-490.0,-500.0,-500.0
606,-490.0,-500.0,-500.0
607,-490.0,-500.0,-500.0
608,-490.0,-500.0,-500.0
609,-490.19,-500.0,-500.0
610,-490.19,-500.0,-500.0
611,-490.19,-500.0,-500.0
612,-490.19,-500.0,-500.0
613,-487.79,-500.0,-500.0
614,-487.79,-500.0,-500.0
615,-487.79,-500.0,-500.0
616,-487.79,-500.0,-500.0
617,-486.36,-500.0,-500.0
618,-486.36,-500.0,-500.0
619,-486.09,-500.0,-500.0
620,-486.09,-500.0,-500.0
621,-486.09,-500.0,-500.0
622,-486.09,-500.0,-500.0
623,-486.09,-500.0,-500.0
624,-486.09,-500.0,-500.0
625,-486.09,-500.0,-500.0
626,-486.09,-500.0,-500.0
627,-486.09,-500.0,-500.0
628,-486.08,-500.0,-500.0
629,-484.89,-500.0,-500.0
630,-482.99,-500.0,-500.0
631,-481.24,-500.0,-500.0
632,-480.79,-500.0,-500.0
633,-478.69,-500.0,-500.0
634,-479.15,-500.0,-500.0
635,-479.15,-500.0,-500.0
636,-479.05,-500.0,-500.0
637,-479.05,-500.0,-500.0
638,-478.46,-500.0,-500.0
639,-478.46,-500.0,-500.0
640,-476.77,-500.0,-500.0
641,-476.77,-500.0,-500.0
642,-475.51,-500.0,-500.0
643,-475.51,-500.0,-500.0
644,-473.91,-500.0,-500.0
645,-473.91,-500.0,-500.0
646,-474.15,-500.0,-500.0
647,-474.15,-500.0,-500.0
648,-474.15,-500.0,-500.0
649,-474.15,-500.0,-500.0
650,-474.15,-500.0,-500.0
651,-474.15,-500.0,-500.0
652,-475.83,-500.0,-500.0
653,-475.93,-500.0,-500.0
654,-475.93,-500.0,-500.0
655,-475.6,-500.0,-500.0
656,-475.72,-500.0,-500.0
657,-475.72,-500.0,-500.0
658,-475.72,-500.0,-500.0
659,-475.72,-500.0,-500.0
660,-475.72,-500.0,-500.0
661,-475.48,-500.0,-500.0
662,-475.32,-500.0,-500.0
663,-475.32,-500.0,-500.0
664,-475.32,-500.0,-500.0
665,-475.08,-500.0,-500.0
666,-474.59,-500.0,-500.0
667,-474.59,-500.0,-500.0
668,-473.61,-500.0,-500.0
669,-473.73,-500.0,-500.0
670,-473.73,-500.0,-500.0
671,-473.73,-500.0,-500.0
672,-472.62,-500.0,-500.0
673,-472.74,-500.0,-500.0
674,-472.74,-500.0,-500.0
675,-473.08,-500.0,-500.0
676,-474.25,-500.0,-500.0
677,-474.25,-500.0,-500.0
678,-474.46,-500.0,-500.0
679,-473.01,-500.0,-500.0
680,-470.38,-500.0,-500.0
681,-470.38,-500.0,-500.0
